"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"bill","n.","A1","账单","The restaurant bill is expensive.","Who pays the bills in your family?"
"bird","n.","A1","鸟","Birds can fly.","What birds do you see in your area?"
"birthday","n.","A1","生日","Today is my birthday!","When is your birthday?"
"black","adj., n.","A1","黑色的","I have a black cat.","What things are usually black?"
"blog","n.","A1","博客","I read her blog every day.","Do you write a blog?"
"blonde","adj.","A1","金发的","She has blonde hair.","What hair colors do you know?"
"blue","adj., n.","A1","蓝色的","The sky is blue.","What things are blue?"
"boat","n.","A1","船","We travel by boat.","Where do boats go?"
"body","n.","A1","身体","Exercise is good for your body.","What parts of the body do you know?"
"book","n.","A1","书","This is an interesting book.","What is your favorite book?"
"boot","n.","A1","靴子","I wear boots in winter.","When do you wear boots?"
"bored","adj.","A1","无聊的","I am bored at home.","What makes you feel bored?"
"boring","adj.","A1","令人无聊的","The movie was boring.","What is the difference between 'bored' and 'boring'?"
"born","v.","A1","出生","I was born in 1995.","Where were you born?"
"both","det./pron.","A1","两个都","Both books are good.","When do you use 'both'?"
"bottle","n.","A1","瓶子","I drink water from a bottle.","What comes in bottles?"
"box","n.","A1","盒子","The gift is in a box.","What do you keep in boxes?"
"boy","n.","A1","男孩","The boy is playing football.","What is the opposite of 'boy'?"
"boyfriend","n.","A1","男朋友","She has a new boyfriend.","What does 'boyfriend' mean?"
"bread","n.","A1","面包","I eat bread for breakfast.","What do you eat with bread?"
"break","v., n.","A1","打破；休息","Don't break the glass.","When do you take a break?"
"breakfast","n.","A1","早餐","Breakfast is the first meal.","What do you eat for breakfast?"
"bring","v.","A1","带来","Please bring your book.","What do you bring to school?"
"brother","n.","A1","兄弟","My brother is older than me.","Do you have a brother?"
"brown","adj., n.","A1","棕色的","My hair is brown.","What things are brown in color?"
"build","v.","A1","建造","They build a new house.","What do people build?"
"building","n.","A1","建筑物","That building is very tall.","What buildings do you see every day?"
"bus","n.","A1","公共汽车","I take the bus to work.","How do you travel by bus?"
"business","n.","A1","生意；商业","My father has a small business.","What kind of business do you know?"
"busy","adj.","A1","忙的","I am very busy today.","When are you most busy?"
"but","conj.","A1","但是","I like tea but not coffee.","How do you use 'but' in sentences?"
"butter","n.","A1","黄油","I put butter on bread.","What do you eat with butter?"
"buy","v.","A1","买","I want to buy a new phone.","What do you need to buy?"
"by","prep.","A1","通过；由；在...旁边","I go to school by bus.","What different ways can you use 'by'?"
"bye","exclam.","A1","再见","Bye! See you tomorrow.","When do you say 'bye'?"
"cafe","n.","A1","咖啡厅","Let's meet at the cafe.","What do people do in a cafe?"
"cake","n.","A1","蛋糕","We eat cake on birthdays.","What is your favorite cake?"
"call","v., n.","A1","打电话；叫","Please call me tonight.","Who do you call most often?"
"camera","n.","A1","照相机","I take photos with my camera.","What do you use a camera for?"
"can1","modal v.","A1","能够；可以","I can swim very well.","What can you do well?"
"cannot","modal v.","A1","不能","I cannot drive a car.","What cannot you do?"
"capital","n., adj.","A1","首都；大写的","Beijing is the capital of China.","What is the capital of your country?"
"car","n.","A1","汽车","My car is blue.","Do you have a car?"
"card","n.","A1","卡片；纸牌","I send birthday cards to friends.","What kinds of cards do you know?"
"career","n.","A1","职业","Teaching is a good career.","What career do you want?"
"carrot","n.","A1","胡萝卜","Carrots are orange vegetables.","Do you like eating carrots?"
"carry","v.","A1","携带；搬运","I carry my bag to school.","What do you carry every day?"
"cat","n.","A1","猫","My cat likes to sleep.","Do you prefer cats or dogs?"
"CD","n.","A1","光盘","I listen to music on CD.","Do people still use CDs?"
"cent","n.","A1","分（货币单位）","This costs fifty cents.","How many cents make a dollar?"
"centre","n.","A1","中心","The library is in the city centre.","Where is the centre of your town?"
"century","n.","A1","世纪","We live in the 21st century.","What century are we in now?"
"chair","n.","A1","椅子","Please sit on the chair.","How many chairs are in your room?"
"change","v., n.","A1","改变；零钱","Can you change this money?","What would you like to change?"
"chart","n.","A1","图表","Look at this chart.","What information do charts show?"
"cheap","adj.","A1","便宜的","This shirt is very cheap.","What is the opposite of 'cheap'?"
"check","v.","A1","检查","Please check your homework.","What do you check every day?"
"cheese","n.","A1","奶酪","I like cheese on pizza.","What foods have cheese?"
"chicken","n.","A1","鸡；鸡肉","We eat chicken for dinner.","How do you cook chicken?"
"child","n.","A1","孩子","The child is playing.","What is the plural of 'child'?"
"chocolate","n.","A1","巧克力","I love eating chocolate.","What is your favorite chocolate?"
"choose","v.","A1","选择","Please choose one book.","What do you choose for breakfast?"
"cinema","n.","A1","电影院","Let's go to the cinema tonight.","What movies do you watch at the cinema?"
"city","n.","A1","城市","I live in a big city.","What city do you live in?"
"class","n.","A1","班级；课程","I have English class today.","What is your favorite class?"
"classroom","n.","A1","教室","The classroom has many desks.","What is in your classroom?"
"clean","adj., v.","A1","干净的；清洁","My room is very clean.","How do you keep things clean?"
"climb","v.","A1","爬","I like to climb mountains.","What do people climb?"
"clock","n.","A1","时钟","The clock shows 3 o'clock.","Where do you see clocks?"
"close1","v.","A1","关闭","Please close the door.","What do you close at night?"
"clothes","n.","A1","衣服","I buy new clothes.","What clothes do you wear in winter?"
"club","n.","A1","俱乐部","I joined a sports club.","What clubs are there at your school?"
"coat","n.","A1","外套","I wear a coat in winter.","When do you wear a coat?"
"coffee","n.","A1","咖啡","I drink coffee in the morning.","Do you like coffee or tea?"
"cold","adj., n.","A1","冷的；感冒","It's very cold today.","What do you do when it's cold?"
"college","n.","A1","大学","She goes to college.","What is the difference between school and college?"
"colour","n.","A1","颜色","What colour is your car?","What is your favorite colour?"
"come","v.","A1","来","Please come to my party.","What time do you come home?"
"common","adj.","A1","普通的；常见的","Dogs are common pets.","What is a common name in your country?"
"company","n.","A1","公司","My father works for a big company.","What company makes your phone?"
"compare","v.","A1","比较","Compare these two pictures.","How do you compare different things?"
"complete","adj., v.","A1","完整的；完成","Please complete your homework.","When do you complete your work?"
"computer","n.","A1","计算机","I use a computer for work.","What do you do on your computer?"
"concert","n.","A1","音乐会","We went to a concert last night.","What kind of concerts do you like?"
"conversation","n.","A1","对话","We had a nice conversation.","Who do you have conversations with?"
"cook","v.","A1","烹饪","I cook dinner every day.","What do you like to cook?"
"cooking","n.","A1","烹饪","Cooking is fun.","Do you enjoy cooking?"
"cool","adj.","A1","凉爽的；酷的","The weather is cool today.","What does 'cool' mean in slang?"
"correct","adj., v.","A1","正确的；纠正","Your answer is correct.","How do you correct mistakes?"
"cost","n., v.","A1","花费；成本","How much does this cost?","What costs a lot of money?"
"could","modal v.","A1","能够（过去式）","When I was young, I could run fast.","What could you do as a child?"
"country","n.","A1","国家","China is a big country.","What country are you from?"
"course","n.","A1","课程；当然","I'm taking an English course.","What course do you want to take?"
"cousin","n.","A1","表/堂兄弟姐妹","My cousin lives in Shanghai.","How many cousins do you have?"
"cow","n.","A1","奶牛","Cows give us milk.","What do cows eat?"
"cream","n.","A1","奶油","I like cream in my coffee.","What foods have cream?"
"create","v.","A1","创造","Artists create beautiful things.","What would you like to create?"
"culture","n.","A1","文化","I want to learn about Chinese culture.","What is interesting about your culture?"
"cup","n.","A1","杯子","I drink tea from a cup.","How many cups do you have?"
"customer","n.","A1","顾客","The customer is always right.","Where do you see customers?"
"cut","v.","A1","切；割","Please cut the apple.","What do you cut with scissors?"
"dad","n.","A1","爸爸","My dad is very kind.","What does your dad do?"
"dance","n., v.","A1","跳舞","I love to dance.","What kind of dance do you like?"
"dancer","n.","A1","舞者","She is a professional dancer.","Do you know any famous dancers?"
"dancing","n.","A1","跳舞","Dancing is good exercise.","Where do people go dancing?"
"dangerous","adj.","A1","危险的","Driving fast is dangerous.","What things are dangerous?"
"dark","adj.","A1","黑暗的","It gets dark at night.","Are you afraid of the dark?"
"date","n.","A1","日期；约会","What's the date today?","What date is your birthday?"
"daughter","n.","A1","女儿","She is my daughter.","Do you have a daughter?"
"day","n.","A1","天；日","Today is a beautiful day.","What is your favorite day of the week?"
"dear","adj.","A1","亲爱的","Dear friend, how are you?","When do you use 'dear'?"
"December","n.","A1","十二月","Christmas is in December.","What happens in December?"
"decide","v.","A1","决定","I can't decide what to eat.","How do you decide important things?"
"delicious","adj.","A1","美味的","This pizza is delicious!","What food do you think is delicious?"
"describe","v.","A1","描述","Can you describe your house?","How do you describe your best friend?"
"description","n.","A1","描述","Give me a description of the man.","What should a good description include?"
"design","n., v.","A1","设计","I like the design of this car.","What would you like to design?"
"desk","n.","A1","书桌","I study at my desk.","What is on your desk?"
"detail","n.","A1","细节","Tell me the details.","Why are details important?"
"dialogue","n.","A1","对话","The dialogue in the movie is funny.","What is a dialogue between two people?"
"dictionary","n.","A1","字典","I use a dictionary to learn words.","When do you use a dictionary?"
"die","v.","A1","死亡","Plants die without water.","What happens when something dies?"
"diet","n.","A1","饮食；节食","I'm on a healthy diet.","What is a good diet?"
"difference","n.","A1","差异","What's the difference between cats and dogs?","Can you see the difference?"
"different","adj.","A1","不同的","We have different opinions.","How are you different from your friends?"
"difficult","adj.","A1","困难的","Math is difficult for me.","What do you find difficult?"
"dinner","n.","A1","晚餐","We have dinner at 7 PM.","What do you eat for dinner?"
"dirty","adj.","A1","脏的","My hands are dirty.","What makes things dirty?"
"discuss","v.","A1","讨论","Let's discuss this problem.","What do you like to discuss with friends?"
"dish","n.","A1","盘子；菜肴","This is my favorite dish.","What is your favorite dish?"
"do1","v., auxiliary v.","A1","做","What do you do?","What do you do every morning?"
"doctor","n.","A1","医生","The doctor helps sick people.","When do you visit a doctor?"
"dog","n.","A1","狗","My dog is very friendly.","Do you have a dog?"
"dollar","n.","A1","美元","This costs five dollars.","What can you buy with one dollar?"
"door","n.","A1","门","Please close the door.","How many doors are in your house?"
"down","adv., prep.","A1","向下","The ball rolled down the hill.","What is the opposite of 'down'?"
"downstairs","adv.","A1","在楼下","The kitchen is downstairs.","What is downstairs in your house?"
"draw","v.","A1","画画","I like to draw pictures.","What do you like to draw?"
"dress","n., v.","A1","连衣裙；穿衣","She wears a beautiful dress.","What dress do you like?"
"drink","n., v.","A1","喝；饮料","I drink water every day.","What is your favorite drink?"
"drive","v.","A1","开车","I can drive a car.","Do you know how to drive?"
"driver","n.","A1","司机","The bus driver is very kind.","What does a driver do?"
"during","prep.","A1","在...期间","I sleep during the night.","What do you do during weekends?"
"DVD","n.","A1","DVD光盘","Let's watch a DVD tonight.","Do you still watch DVDs?"
"each","det./pron./adv.","A1","每个","Each student has a book.","How do you use 'each' in sentences?"
"ear","n.","A1","耳朵","I can hear with my ears.","How many ears do you have?"
"early","adj., adv.","A1","早的；早地","I get up early.","What time is early for you?"
"east","n., adj., adv.","A1","东方","The sun rises in the east.","What direction is east?"
"easy","adj.","A1","容易的","English is easy to learn.","What do you find easy?"
"eat","v.","A1","吃","I eat breakfast every morning.","What do you like to eat?"
"egg","n.","A1","鸡蛋","I eat eggs for breakfast.","How do you cook eggs?"
"eight","number","A1","八","I have eight books.","What comes after eight?"
"eighteen","number","A1","十八","She is eighteen years old.","What happens when you turn eighteen?"
"eighty","number","A1","八十","My grandfather is eighty.","What is eighty minus ten?"
"elephant","n.","A1","大象","Elephants are very big.","Where do elephants live?"
"eleven","number","A1","十一","There are eleven players in football.","What comes before eleven?"
"else","adv.","A1","其他的","What else do you want?","When do you use 'else'?"
"email","n., v.","A1","电子邮件","Please send me an email.","How often do you check your email?"
"end","n., v.","A1","结束；末尾","This is the end of the story.","When does your school day end?"
"enjoy","v.","A1","享受","I enjoy reading books.","What activities do you enjoy?"
"enough","det., pron., adv.","A1","足够的","I have enough money.","When is something enough?"
"euro","n.","A1","欧元","This costs ten euros.","What countries use euros?"
"even","adv.","A1","甚至","Even children can do this.","How do you use 'even' in sentences?"
"evening","n.","A1","晚上","Good evening!","What do you do in the evening?"
"event","n.","A1","事件；活动","The wedding was a happy event.","What events do you enjoy?"
"ever","adv.","A1","曾经","Have you ever been to Paris?","When do you use 'ever' in questions?"
"every","det.","A1","每个","I go to school every day.","What do you do every morning?"
"everybody","pron.","A1","每个人","Everybody loves ice cream.","Is 'everybody' the same as 'everyone'?"
"everyone","pron.","A1","每个人","Everyone is welcome here.","When do you say 'everyone'?"
"everything","pron.","A1","一切","Everything is ready.","What does 'everything' include?"
"exam","n.","A1","考试","I have an English exam tomorrow.","How do you prepare for exams?"
"example","n.","A1","例子","Give me an example.","Can you think of an example?"
"excited","adj.","A1","兴奋的","I'm excited about the trip.","What makes you excited?"
"exciting","adj.","A1","令人兴奋的","The movie was very exciting.","What is the difference between 'excited' and 'exciting'?"
"exercise","n., v.","A1","锻炼；练习","I exercise every morning.","What exercise do you do?"
"expensive","adj.","A1","昂贵的","This car is very expensive.","What is expensive in your country?"
"explain","v.","A1","解释","Can you explain this word?","When do teachers explain things?"
"extra","adj.","A1","额外的","I need extra time.","When do you need something extra?"
"eye","n.","A1","眼睛","I have brown eyes.","What color are your eyes?"
"face","n.","A1","脸","She has a beautiful face.","What parts of the face do you know?"
"fact","n.","A1","事实","It's a fact that water boils at 100°C.","What is an interesting fact you know?"
"fall","v.","A1","跌倒；秋天","Be careful, don't fall!","What can make you fall?"
"false","adj.","A1","错误的","This statement is false.","What is the opposite of 'false'?"
"family","n., adj.","A1","家庭","I love my family.","How many people are in your family?"
"famous","adj.","A1","著名的","He is a famous singer.","Who is a famous person you know?"
"fantastic","adj.","A1","极好的","The weather is fantastic today!","What was fantastic about your day?"
"far","adv.","A1","远","My school is not far from home.","What place is far from your house?"
"farm","n.","A1","农场","Cows live on a farm.","What animals live on a farm?"
"farmer","n.","A1","农民","The farmer grows vegetables.","What does a farmer do?"
"fast","adj., adv.","A1","快的；快地","This car is very fast.","What animals are fast?"
"fat","adj.","A1","胖的","The cat is getting fat.","What is the opposite of 'fat'?"
"father","n.","A1","父亲","My father works in a bank.","What does your father do?"
"favourite","adj., n.","A1","最喜欢的","Blue is my favourite color.","What is your favourite food?"
"February","n.","A1","二月","Valentine's Day is in February.","What happens in February?"
"feel","v.","A1","感觉","I feel happy today.","How do you feel right now?"
"feeling","n.","A1","感觉","I have a good feeling about this.","What feelings do you know?"
"festival","n.","A1","节日","Christmas is my favourite festival.","What festival do you celebrate?"
"few","det./adj., pron.","A1","少数的","I have a few friends.","What is the difference between 'few' and 'little'?"
"fifteen","number","A1","十五","I am fifteen years old.","What comes after fifteen?"
"fifth","number","A1","第五","May is the fifth month.","What is the fifth day of the week?"
"fifty","number","A1","五十","My mother is fifty years old.","What is fifty divided by ten?"
"fill","v.","A1","装满","Fill the glass with water.","What do you fill with water?"
"film","n.","A1","电影","I watched a good film last night.","What is your favourite film?"
"final","adj.","A1","最终的","This is the final answer.","When do you use 'final'?"
"find","v.","A1","找到","I can't find my keys.","What do you often find difficult to find?"
"fine","adj.","A1","好的；晴朗的","The weather is fine today.","When do you say 'I'm fine'?"
"finish","v.","A1","完成","Please finish your homework.","What time do you finish school?"
"fire","n.","A1","火","Fire is hot and dangerous.","What do you cook over a fire?"
"first","det./number, adv.","A1","第一","This is my first day at school.","What was your first pet?"
"fish","n.","A1","鱼","Fish live in water.","Do you like eating fish?"
"five","number","A1","五","I have five fingers on each hand.","What comes before five?"
"flat","n.","A1","公寓","I live in a small flat.","What is the difference between a flat and a house?"
"flight","n.","A1","航班","My flight is at 3 PM.","How long is your flight to another country?"
"floor","n.","A1","地板；楼层","The book is on the floor.","What floor do you live on?"
"flower","n.","A1","花","The flower smells beautiful.","What is your favorite flower?"
"fly","v.","A1","飞","Birds can fly in the sky.","What animals can fly?"
"follow","v.","A1","跟随","Please follow me.","Who do you follow on social media?"
"food","n.","A1","食物","I love Italian food.","What is your favorite food?"
"foot","n.","A1","脚","I hurt my foot while running.","How many feet do you have?"
"football","n.","A1","足球","I play football with my friends.","Do you like watching football?"
"for","prep.","A1","为了；给","This gift is for you.","What different ways can you use 'for'?"
"forget","v.","A1","忘记","Don't forget to call me.","What do you often forget?"
"form","n., v.","A1","形式；形成","Please fill out this form.","What forms do you fill out?"
"forty","number","A1","四十","She is forty years old.","What is forty plus ten?"
"four","number","A1","四","I have four sisters.","What comes after four?"
"fourteen","number","A1","十四","My brother is fourteen.","What is fourteen minus four?"
"fourth","number","A1","第四","April is the fourth month.","What is the fourth letter of the alphabet?"
"free","adj.","A1","免费的；自由的","The museum is free today.","What things are free?"
"Friday","n.","A1","星期五","I love Friday because it's weekend soon.","What do you do on Friday nights?"
"friend","n.","A1","朋友","She is my best friend.","How many friends do you have?"
"friendly","adj.","A1","友好的","Our neighbors are very friendly.","Who is the most friendly person you know?"
"from","prep.","A1","从；来自","I come from China.","Where do you come from?"
"front","n., adj.","A1","前面","The teacher stands in front of the class.","What is in front of your house?"
"fruit","n.","A1","水果","Apples and oranges are fruit.","What is your favorite fruit?"
"full","adj.","A1","满的","The glass is full of water.","When do you feel full?"
"fun","n.","A1","乐趣","Swimming is fun.","What do you do for fun?"
"funny","adj.","A1","有趣的","That joke was very funny.","What makes you laugh and find funny?"
"future","n.","A1","未来","I want to be a doctor in the future.","What do you want to do in the future?"
"game","n.","A1","游戏；比赛","Let's play a game.","What games do you like to play?"
"garden","n.","A1","花园","There are beautiful flowers in the garden.","Do you have a garden?"
"geography","n.","A1","地理","I study world geography.","What do you learn in geography class?"
"get","v.","A1","得到；到达","I get up at 7 AM.","What time do you get home?"
"girl","n.","A1","女孩","The girl is reading a book.","What is the opposite of 'girl'?"
"girlfriend","n.","A1","女朋友","He has a new girlfriend.","What does 'girlfriend' mean?"
"give","v.","A1","给","Please give me the book.","What do you give people on their birthday?"
"glass","n.","A1","玻璃；玻璃杯","The window is made of glass.","What do you drink from a glass?"
"go","v.","A1","去","I go to school every day.","Where do you go on weekends?"
"good","adj.","A1","好的","This is a very good book.","What is good about today?"
"goodbye","exclam./n.","A1","再见","Goodbye! See you later.","When do you say goodbye?"
"grandfather","n.","A1","祖父；外祖父","My grandfather is 80 years old.","What does your grandfather do?"
"grandmother","n.","A1","祖母；外祖母","My grandmother makes delicious cookies.","Do you visit your grandmother often?"
"grandparent","n.","A1","祖父母；外祖父母","I love spending time with my grandparents.","What do you do with your grandparents?"
"great","adj.","A1","很好的；伟大的","That's a great idea!","What was great about your weekend?"
"green","adj., n.","A1","绿色的","Grass is green.","What things in nature are green?"
"grey","adj., n.","A1","灰色的","The sky is grey today.","What things are grey?"
"group","n.","A1","组；群体","We work in a group of five.","What groups are you part of?"
"grow","v.","A1","成长；种植","Children grow quickly.","What grows in your garden?"
"guess","v., n.","A1","猜测","Can you guess my age?","When do you have to guess something?"
"guitar","n.","A1","吉他","I play the guitar.","Do you know how to play guitar?"
"gym","n.","A1","体育馆；健身房","I exercise at the gym.","Do you go to a gym?"
"hair","n.","A1","头发","She has long black hair.","What color is your hair?"
"half","n., det./pron.","A1","一半","I ate half of the pizza.","What is half of ten?"
"hand","n.","A1","手","I write with my right hand.","What do you do with your hands?"
"happen","v.","A1","发生","What will happen next?","What happened yesterday?"
"happy","adj.","A1","快乐的","I am very happy today.","What makes you happy?"
"hard","adj., adv.","A1","硬的；困难的","This math problem is hard.","What is hard for you to do?"
"hat","n.","A1","帽子","I wear a hat in the sun.","When do you wear a hat?"
"hate","v.","A1","讨厌","I hate getting up early.","What do you hate doing?"
"have","v.","A1","有","I have two brothers.","What do you have in your bag?"
"have to","modal v.","A1","必须","I have to go to school.","What do you have to do every day?"
"he","pron.","A1","他","He is my brother.","When do you use 'he'?"
"head","n.","A1","头","I have a headache.","What do you put on your head?"
"health","n.","A1","健康","Exercise is good for your health.","How do you keep good health?"
"healthy","adj.","A1","健康的","Vegetables are healthy food.","What healthy food do you eat?"
"hear","v.","A1","听见","I can hear music.","What can you hear right now?"
"hello","exclam./n.","A1","你好","Hello! How are you?","When do you say hello?"
"help","v., n.","A1","帮助","Can you help me?","Who do you help at home?"
"her","pron., det.","A1","她的；她","This is her book.","When do you use 'her'?"
"here","adv.","A1","这里","Come here, please.","What is here in this room?"
"hey","exclam.","A1","嘿","Hey! Wait for me!","When do you say 'hey'?"
"hi","exclam.","A1","嗨","Hi! Nice to meet you.","Is 'hi' the same as 'hello'?"
"high","adj.","A1","高的","The mountain is very high.","What is high in your city?"
"him","pron.","A1","他","I gave the book to him.","When do you use 'him' instead of 'he'?"
"his","det.","A1","他的","This is his car.","What is his favorite color?"
"history","n.","A1","历史","I study Chinese history.","What period of history interests you?"
"hobby","n.","A1","爱好","Reading is my hobby.","What is your favorite hobby?"
"holiday","n.","A1","假期","Summer holiday is coming.","What do you do during holidays?"
"home","n., adv.","A1","家；回家","I go home after school.","What time do you get home?"
"homework","n.","A1","家庭作业","I do my homework after school.","When do you do your homework?"
"hope","v.","A1","希望","I hope you feel better soon.","What do you hope for in the future?"
"horse","n.","A1","马","The horse runs very fast.","Have you ever ridden a horse?"
"hospital","n.","A1","医院","The hospital is near my house.","When do people go to hospital?"
"hot","adj.","A1","热的","Today is very hot.","What do you do when it's hot?"
"hotel","n.","A1","酒店","We stayed at a nice hotel.","What do you expect from a good hotel?"
"hour","n.","A1","小时","The meeting lasts one hour.","How many hours do you sleep?"
"house","n.","A1","房子","I live in a big house.","How many rooms are in your house?"
"how","adv.","A1","如何；怎样","How are you today?","How do you ask for help?"
"however","adv.","A1","然而","It's raining; however, I'll go out.","When do you use 'however'?"
"hundred","number","A1","一百","There are one hundred students.","What is one hundred minus fifty?"
"hungry","adj.","A1","饿的","I am very hungry.","What do you eat when you're hungry?"
"husband","n.","A1","丈夫","Her husband is a teacher.","What does a good husband do?"
"I","pron.","A1","我","I like to read books.","When do you use 'I' in sentences?"
"ice","n.","A1","冰","The ice is very cold.","What do you do with ice?"
"ice cream","n.","A1","冰淇淋","I love chocolate ice cream.","What is your favorite ice cream flavor?"
"idea","n.","A1","想法；主意","That's a great idea!","What gives you new ideas?"
"if","conj.","A1","如果","If it rains, I'll stay home.","When do you use 'if'?"
