"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"block","n.","B1","街区；障碍","Construction blocks access to the main road.","What blocks prevent you from reaching your potential?"
"bomb","n.","B1","炸弹","The bomb squad investigated the suspicious package.","How do media reports about bombs affect public psychology?"
"border","n.","B1","边界","International borders require passport control.","What borders exist in your personal relationships?"
"bother","v.","B1","打扰","I don't want to bother you during work.","What bothers you about modern communication methods?"
"branch","n.","B1","分支；树枝","The bank opened a new branch downtown.","What branch of knowledge would you like to explore?"
"brand","n.","B1","品牌","Consumer loyalty to brands influences purchasing decisions.","How do brands shape your identity?"
"brave","adj.","B1","勇敢的","Firefighters demonstrate brave dedication to public safety.","What situations require you to be brave?"
"breath","n.","B1","呼吸","Take a deep breath before speaking publicly.","When does focusing on breath help you?"
"breathe","v.","B1","呼吸","Fresh air makes it easier to breathe.","What environments make you breathe more freely?"
"breathing","n.","B1","呼吸","Proper breathing techniques reduce stress levels.","How does conscious breathing affect your mood?"
"bride","n.","B1","新娘","The bride wore her grandmother's wedding dress.","What traditions do brides maintain in your culture?"
"bubble","n.","B1","泡泡","Economic bubbles eventually burst with consequences.","What bubbles do people create to protect themselves?"
"bury","v.","B1","埋葬","Ancient civilizations buried treasures with rulers.","What would you choose to bury from the past?"
"calm","adj.","B1","平静的","Meditation helps maintain a calm mindset.","What techniques help you stay calm under pressure?"
"campaign","n.","B1","运动；活动","The awareness campaign reduced smoking rates.","What cause would you organize a campaign for?"
"campus","n.","B1","校园","The university campus covers several city blocks.","What makes a campus environment conducive to learning?"
"candidate","n.","B1","候选人","Each candidate presented unique policy proposals.","What qualities do you seek in political candidates?"
"cap","n.","B1","帽子；上限","The salary cap limits team expenditures.","What caps do you set on your spending?"
"captain","n.","B1","队长；船长","The team captain motivates other players.","What leadership qualities should a captain possess?"
"careless","adj.","B1","粗心的","Careless mistakes can have serious consequences.","When are you most prone to careless errors?"
"category","n.","B1","类别","Products are organized by category in stores.","What category of books do you read most?"
"ceiling","n.","B1","天花板；上限","Government spending has an established ceiling.","What ceilings limit your professional growth?"
"celebration","n.","B1","庆祝","Community celebrations strengthen social bonds.","What celebration means most to your family?"
"central","adj.","B1","中心的","Education plays a central role in development.","What issues are central to your personal values?"
"ceremony","n.","B1","典礼","Graduation ceremonies honor student achievements.","What ceremony has had the most significance for you?"
"chain","n.","B1","链条；连锁","Fast-food chains dominate many urban areas.","What chain reactions do small actions create in your life?"
"challenge","n.","B1","挑战","Climate change presents humanity's greatest challenge.","What challenge has taught you the most about yourself?"
"champion","n.","B1","冠军","The tennis champion trains six hours daily.","What cause would you champion in your community?"
"channel","n.","B1","频道；渠道","Social media provides new channels for communication.","What channels do you use to express creativity?"
"chapter","n.","B1","章节","This chapter covers economic theory fundamentals.","What chapter of your life has been most transformative?"
"charge","n.","B1","费用；指控","The lawyer dropped all charges against the defendant.","What charges do you take responsibility for?"
"cheat","v.","B1","欺骗","Academic integrity policies prohibit students from cheating.","When do people feel tempted to cheat?"
"cheerful","adj.","B1","愉快的","Her cheerful disposition brightens everyone's day.","What keeps you cheerful during difficult times?"
"chemical","adj.","B1","化学的","Chemical fertilizers increase agricultural productivity.","How do chemical processes affect daily life?"
"chest","n.","B1","胸部","The doctor listened to his chest with a stethoscope.","What do you keep close to your chest emotionally?"
"childhood","n.","B1","童年","Childhood experiences shape adult personality development.","What childhood memory influences you most today?"
"claim","v.","B1","声称；索赔","Scientists claim that exercise improves brain function.","What claims about health do you find questionable?"
"clause","n.","B1","条款","The contract contains a confidentiality clause.","What clauses do you always read carefully?"
"click","v.","B1","点击","Click the submit button to complete registration.","What makes online content worth clicking?"
"client","n.","B1","客户","Professional lawyers maintain client confidentiality.","How do you build trust with clients?"
"cloth","n.","B1","布料","Organic cotton cloth feels softer than synthetic materials.","What cloth textures do you find most comfortable?"
"clue","n.","B1","线索","Detectives searched for clues at the crime scene.","What clues help you understand people's personalities?"
"coal","n.","B1","煤","Coal mining significantly impacts environmental health.","How do coal alternatives change energy systems?"
"coin","n.","B1","硬币","Digital currencies challenge traditional coin usage.","What coin collections hold sentimental value?"
"combine","v.","B1","结合","Successful recipes combine flavors harmoniously.","What skills do you combine in your work?"
"commercial","adj.","B1","商业的","Commercial airlines implement strict safety protocols.","How do commercial interests affect public decisions?"
"commit","v.","B1","承诺；犯罪","Athletes commit years to Olympic training.","What do you commit time to that others don't understand?"
"communication","n.","B1","交流","Effective communication prevents workplace misunderstandings.","What communication barriers do you encounter most?"
"comparison","n.","B1","比较","Price comparison helps consumers make informed decisions.","What comparison has changed your perspective completely?"
"competitor","n.","B1","竞争者","Business competitors often share similar target markets.","How do you handle competitors in professional settings?"
"competitive","adj.","B1","竞争的","Competitive sports develop mental resilience.","What makes you feel most competitive?"
"complaint","n.","B1","抱怨","Customer complaints provide valuable feedback for improvement.","What complaint do you hear most frequently?"
"complex","adj.","B1","复杂的","International relations involve complex diplomatic negotiations.","What complex problems do you enjoy solving?"
"concentrate","v.","B1","集中注意力","Students need quiet environments to concentrate effectively.","When do you concentrate best during the day?"
"conclude","v.","B1","总结","Researchers conclude that diet affects mental health.","What do you conclude about modern lifestyle changes?"
"conclusion","n.","B1","结论","The investigation reached an unexpected conclusion.","What conclusion have you drawn from life experience?"
"confident","adj.","B1","自信的","Confident speakers engage audiences more effectively.","What makes you feel most confident?"
"confirm","v.","B1","确认","Please confirm your attendance at the conference.","What do you always confirm before making commitments?"
"confuse","v.","B1","使困惑","Technical jargon can confuse non-expert audiences.","What topics confuse you despite your efforts?"
"confused","adj.","B1","困惑的","Students felt confused by the complex instructions.","When do you feel most confused about social expectations?"
"connection","n.","B1","连接","Internet connections enable global communication.","What connections have been most meaningful in your life?"
"construction","n.","B1","建设","Bridge construction requires careful engineering analysis.","What construction projects improve community life?"
"contact","n.","B1","联系","Emergency contacts should be easily accessible.","How do you maintain contact with distant friends?"
"content","adj.","B1","满足的","She felt content with her career achievements.","What makes you feel content with your progress?"
"contest","n.","B1","比赛","Photography contests showcase creative talent.","What contest would you be confident entering?"
"contract","n.","B1","合同","Employment contracts specify workplace responsibilities.","What contract terms do you negotiate most carefully?"
"convenient","adj.","B1","方便的","Online shopping provides convenient access to products.","What convenient services have changed your lifestyle?"
"convert","v.","B1","转换","Solar panels convert sunlight into electricity.","What would you like to convert about yourself?"
"convince","v.","B1","说服","Data can convince skeptics about climate change.","What arguments convince you to change your mind?"
"court","n.","B1","法院；球场","Supreme court decisions affect constitutional law.","What court cases have influenced social progress?"
"crash","v.","B1","碰撞","Stock markets crashed during the financial crisis.","What causes relationships to crash and burn?"
"creature","n.","B1","生物","Marine creatures adapt to deep-ocean environments.","What creature in nature do you find most fascinating?"
"crew","n.","B1","船员；工作人员","The film crew worked eighteen-hour days.","What qualities make an effective team crew?"
"crisis","n.","B1","危机","Economic crises affect global employment rates.","How do you respond to personal crises?"
"critic","n.","B1","批评家","The art critic praised the exhibition's innovation.","What makes constructive criticism from critics valuable?"
"criticism","n.","B1","批评","Constructive criticism helps improve performance quality.","How do you handle criticism of your work?"
"criticize","v.","B1","批评","Teachers should criticize students' work constructively.","When do you feel compelled to criticize something?"
"crush","v.","B1","压碎；迷恋","Heavy machinery can crush metal into compact cubes.","What dreams have been crushed but later revived?"
"curious","adj.","B1","好奇的","Curious students ask more questions during lectures.","What makes you most curious about other cultures?"
"current","adj.","B1","当前的","Current research suggests climate change accelerates.","What current trends concern you most?"
"curve","n.","B1","曲线","The learning curve for programming languages varies.","What curve in life caught you off guard?"
"damage","n.","B1","损害","Environmental damage affects future generations' welfare.","What damage is hardest to repair in relationships?"
"debate","n.","B1","辩论","Political debates inform voters about policy positions.","What debate topic would you feel passionate about?"
"debt","n.","B1","债务","Student debt influences career choice decisions.","How do you manage debt responsibly?"
"decade","n.","B1","十年","Technology transformed dramatically over the past decade.","What decade would you like to experience?"
"decent","adj.","B1","体面的","Everyone deserves a decent standard of living.","What constitutes a decent work-life balance?"
"declare","v.","B1","宣布","Countries declare independence through formal proclamations.","What would you declare to be most important?"
"decorate","v.","B1","装饰","Families decorate homes for seasonal celebrations.","How do you decorate your personal space?"
"decoration","n.","B1","装饰","Traditional decorations reflect cultural heritage values.","What decoration holds the most meaning for you?"
"decrease","v.","B1","减少","Exercise programs help decrease stress levels.","What behavior would you like to decrease?"
"defeat","v.","B1","击败","Persistent effort can defeat seemingly impossible challenges.","What defeats have taught you valuable lessons?"
"defense","n.","B1","防御","Legal defense requires thorough case preparation.","What defense mechanisms do you rely on?"
"defend","v.","B1","保卫","Citizens defend democratic principles through civic participation.","What values would you defend regardless of consequences?"
"definition","n.","B1","定义","Dictionary definitions provide precise word meanings.","What definition of success resonates with you?"
"delay","v.","B1","延迟","Traffic congestion delays commute times significantly.","What do you delay that you should address?"
"deliver","v.","B1","递送；发表","Courier services deliver packages within specified timeframes.","What message do you hope to deliver through your work?"
"delivery","n.","B1","递送","Express delivery services charge premium rates.","What delivery has brought you the most joy?"
"demand","v.","B1","要求","Consumer activism demands corporate environmental responsibility.","What change do you demand in your community?"
"demonstrate","v.","B1","演示","Scientific experiments demonstrate theoretical principles clearly.","What skill would you like to demonstrate publicly?"
"departure","n.","B1","离开","Flight departures require advance airport arrival.","What departure has been most difficult for you?"
"depth","n.","B1","深度","Ocean depths contain unexplored biological diversity.","What subject would you like to study in depth?"
"determine","v.","B1","决定","Multiple factors determine academic success rates.","What determines your happiness most significantly?"
"development","n.","B1","发展","Urban development affects neighborhood character dynamics.","What development in technology excites you most?"
"diagram","n.","B1","图表","Technical diagrams clarify complex system relationships.","What concept would you illustrate with a diagram?"
"diamond","n.","B1","钻石","Industrial diamonds enhance cutting tool efficiency.","What quality makes relationships as valuable as diamonds?"
"directly","adv.","B1","直接地","Address workplace conflicts directly and professionally.","When do you prefer to communicate directly?"
"disadvantage","n.","B1","劣势","Rural areas face internet connectivity disadvantages.","What disadvantage have you turned into strength?"
"disappoint","v.","B1","使失望","Canceled events disappoint eager participants.","When do you most fear disappointing others?"
"disappointed","adj.","B1","失望的","Students felt disappointed by examination results.","How do you cope when disappointed by outcomes?"
"disappointing","adj.","B1","令人失望的","The movie's ending was surprisingly disappointing.","What disappointing experience taught you resilience?"
"disappointment","n.","B1","失望","Career disappointments often lead to better opportunities.","What disappointment ultimately benefited you?"
"disc","n.","B1","光盘","Digital streaming replaced physical music discs.","What disc or album defined your youth?"
"discipline","n.","B1","纪律；学科","Academic disciplines require specialized research methodologies.","What discipline do you admire in others?"
"discount","n.","B1","折扣","Bulk purchases often qualify for significant discounts.","What discount would motivate you to buy immediately?"
"disk","n.","B1","磁盘","Computer hard disks store vast amounts of data.","What information do you keep on backup disks?"
"display","v.","B1","展示","Museums display artifacts from ancient civilizations.","What personal qualities do you display in difficult situations?"
"distribute","v.","B1","分发","Charities distribute aid to disaster-affected communities.","How do you distribute time between work and personal life?"
"district","n.","B1","区域","Each school district implements different educational policies.","What district in your city has changed the most?"
"divide","v.","B1","分割","Cultural differences often divide communities unnecessarily.","What issues divide your community most significantly?"
"doubt","n.","B1","怀疑","Scientific research eliminates doubt through evidence.","What doubt do you struggle to overcome?"
"downtown","adj.","B1","市中心的","Downtown areas face gentrification challenges.","What downtown development would benefit everyone?"
"dozen","n.","B1","一打","The bakery sells dozens of fresh pastries daily.","What would you do with a dozen extra hours?"
"dramatic","adj.","B1","戏剧性的","Climate change creates dramatic weather pattern shifts.","What dramatic change would improve society?"
"drawer","n.","B1","抽屉","Important documents should be organized in labeled drawers.","What do you keep in your most private drawer?"
"due","adj.","B1","到期的","Library books are due three weeks after borrowing.","What recognition is due to unsung heroes?"
"dust","n.","B1","灰尘","Regular cleaning prevents dust accumulation on surfaces.","What memories do you keep despite gathering dust?"
"duty","n.","B1","职责","Citizens have a duty to participate in democracy.","What duty do you take most seriously?"
"eastern","adj.","B1","东方的","Eastern philosophy emphasizes harmony and balance.","What eastern traditions appeal to you?"
"economic","adj.","B1","经济的","Economic policies affect employment rates significantly.","What economic changes concern you most?"
"economy","n.","B1","经济","Digital transformation reshapes the modern economy.","How does technology affect local economies?"
"edge","n.","B1","边缘；优势","Innovative companies gain competitive edges through research.","What gives you an edge in challenging situations?"
"edit","v.","B1","编辑","Professional writers edit manuscripts multiple times.","What aspect of yourself would you edit?"
"edition","n.","B1","版本","First editions of famous books become valuable collectibles.","What edition of yourself are you working toward?"
"editor","n.","B1","编辑","Magazine editors shape content for target audiences.","What qualities make an effective editor?"
"educate","v.","B1","教育","Schools educate students for future careers.","How do you educate yourself outside formal systems?"
"educational","adj.","B1","教育的","Educational games make learning more engaging.","What educational experience changed your perspective?"
"effective","adj.","B1","有效的","Effective leaders inspire teams toward shared goals.","What makes communication most effective in relationships?"
"efficient","adj.","B1","高效的","Efficient transportation systems reduce urban congestion.","Where are you most efficient in daily routines?"
"effort","n.","B1","努力","Sustained effort produces meaningful long-term results.","What effort has brought you the most satisfaction?"
"elder","adj.","B1","年长的","Elder community members possess valuable wisdom.","What elder's advice has guided your decisions?"
"elderly","adj.","B1","年老的","Healthcare systems must support elderly population needs.","How do you show respect to elderly people?"
"elect","v.","B1","选举","Citizens elect representatives through democratic processes.","What qualities would you elect in a leader?"
"election","n.","B1","选举","Fair elections require transparent voting systems.","What election result surprised you most?"
"element","n.","B1","元素","Trust is a crucial element in relationships.","What element is missing from your ideal life?"
"emergency","n.","B1","紧急情况","Hospitals prepare for various emergency scenarios.","What emergency skills should everyone possess?"
"emotion","n.","B1","情感","Artists express complex emotions through creative work.","What emotion do you find hardest to express?"
"emotional","adj.","B1","情感的","Emotional intelligence affects professional success.","What emotional skills have you developed recently?"
"employment","n.","B1","就业","Technological advancement changes employment patterns.","What employment trends worry you about the future?"
"enable","v.","B1","使能够","Education enables people to pursue diverse opportunities.","What enables you to overcome personal challenges?"
"encourage","v.","B1","鼓励","Teachers encourage students to think critically.","Who do you encourage and how?"
"encouragement","n.","B1","鼓励","Parental encouragement boosts children's self-confidence.","What encouragement has meant the most to you?"
"engineering","n.","B1","工程学","Civil engineering creates infrastructure for communities.","What engineering marvel impresses you most?"
"ensure","v.","B1","确保","Quality control processes ensure product safety.","What do you ensure happens in your relationships?"
"entertain","v.","B1","娱乐","Comedians entertain audiences through observational humor.","How do you entertain yourself during free time?"
"entertainment","n.","B1","娱乐","Digital entertainment platforms dominate leisure time.","What entertainment brings your family together?"
"enthusiasm","n.","B1","热情","Enthusiasm motivates teams through challenging projects.","What activity generates your greatest enthusiasm?"
"enthusiastic","adj.","B1","热情的","Enthusiastic teachers inspire lifelong learning habits.","When do you feel most enthusiastic about life?"
"entire","adj.","B1","整个的","Climate change affects the entire global ecosystem.","What would you change about your entire lifestyle?"
"entirely","adv.","B1","完全地","Success depends entirely on persistent effort.","What belief have you changed entirely?"
"entry","n.","B1","进入；条目","University entry requires strong academic performance.","What entry point changed your life trajectory?"
"environmental","adj.","B1","环境的","Environmental protection requires collective global action.","What environmental changes have you witnessed personally?"
"episode","n.","B1","插曲；集","That embarrassing episode taught valuable life lessons.","What episode from your past makes you laugh now?"
"equal","adj.","B1","平等的","Equal opportunities should exist regardless of background.","What makes relationships truly equal between partners?"
"escape","v.","B1","逃脱","Literature provides escape from daily stress.","What do you use to escape from overwhelming situations?"
"essential","adj.","B1","必要的","Clean water is essential for human survival.","What's essential for your personal happiness?"
"establish","v.","B1","建立","Universities establish research partnerships with industries.","What do you hope to establish in your career?"
"estate","n.","B1","房地产","Real estate prices fluctuate with economic conditions.","What estate would you create for future generations?"
"estimate","v.","B1","估算","Contractors estimate project completion times carefully.","How do you estimate the value of friendship?"
"ethnic","adj.","B1","民族的","Ethnic diversity enriches cultural understanding.","What ethnic traditions do you find fascinating?"
"eventually","adv.","B1","最终","Persistent effort eventually leads to success.","What do you hope will eventually change in society?"
"examination","n.","B1","考试","Medical examinations detect health problems early.","What examination has caused you the most anxiety?"
"examine","v.","B1","检查","Doctors examine patients thoroughly before diagnosing.","What aspects of life should people examine regularly?"
"exceed","v.","B1","超过","Student performance exceeded teacher expectations significantly.","What achievement has exceeded your own expectations?"
"exception","n.","B1","例外","Every rule has exceptions in certain circumstances.","What exception would you make to your principles?"
"exchange","v.","B1","交换","Students exchange ideas through collaborative projects.","What would you exchange for guaranteed happiness?"
"excitement","n.","B1","兴奋","Children's excitement about holidays is contagious.","What generates the most excitement in your life?"
"exclude","v.","B1","排除","Fair policies should not exclude any community member.","What do you exclude from your personal relationships?"
"excuse","v.","B1","原谅","Understanding circumstances can excuse minor mistakes.","When do you excuse behavior that annoys you?"
"executive","n.","B1","高管","Corporate executives make strategic business decisions.","What executive skills would benefit your personal life?"
"exhibition","n.","B1","展览","Art exhibitions showcase contemporary creative trends.","What exhibition has influenced your perspective most?"
"existence","n.","B1","存在","Philosophy questions the meaning of human existence.","What gives your existence its deepest meaning?"
"expand","v.","B1","扩展","Companies expand operations into international markets.","What aspect of yourself would you like to expand?"
"expectation","n.","B1","期望","Parental expectations significantly influence children's choices.","What expectation do you place on yourself?"
"experienced","adj.","B1","有经验的","Experienced professionals mentor younger colleagues effectively.","In what area are you most experienced?"
"explore","v.","B1","探索","Scientists explore possibilities for renewable energy sources.","What would you explore if resources weren't limited?"
"explosion","n.","B1","爆炸","Population explosions strain urban infrastructure systems.","What explosion of interest has surprised you?"
"export","v.","B1","出口","Countries export goods to strengthen economic relationships.","What personal qualities would you export globally?"
"extend","v.","B1","延长","Libraries extend borrowing periods during exam seasons.","What deadline would you extend indefinitely?"
"extension","n.","B1","延长；扩展","Home extensions increase property values significantly.","What extension would improve your living space?"
"extent","n.","B1","程度","Technology affects daily life to unprecedented extents.","To what extent do you control your destiny?"
"facility","n.","B1","设施","Community facilities serve diverse neighborhood needs.","What facility would most benefit your community?"
"failure","n.","B1","失败","Learning from failure builds resilience and wisdom.","What failure has taught you the most valuable lesson?"
"fairly","adv.","B1","相当地","The weather has been fairly pleasant recently.","What do you handle fairly well under pressure?"
"faith","n.","B1","信仰","Faith in humanity motivates charitable actions.","What faith sustains you through difficult times?"
"familiar","adj.","B1","熟悉的","Familiar surroundings provide comfort during stress.","What familiar sound brings you instant peace?"
"fancy","adj.","B1","精致的","Fancy restaurants create memorable dining experiences.","What fancy experience would you save money for?"
"fault","n.","B1","过错","Geological faults create earthquake risks in regions.","What fault do you most want to correct?"
"fee","n.","B1","费用","University fees increase faster than inflation rates.","What fee do you consider worth paying?"
"feedback","n.","B1","反馈","Constructive feedback improves performance and development.","What feedback has changed your approach completely?"
"fellow","adj.","B1","同伴的","Fellow travelers often share interesting life stories.","What fellow humans inspire you most?"
"fetch","v.","B1","取来","Dogs naturally fetch objects for their owners.","What would you fetch from your past?"
"file","n.","B1","文件","Important files should be backed up regularly.","What file would you never want to lose?"
"finance","n.","B1","财政","Personal finance education prevents future debt problems.","How do you approach finance planning?"
"financial","adj.","B1","财政的","Financial literacy affects long-term economic security.","What financial advice do you wish you'd received earlier?"
"finding","n.","B1","发现","Research findings influence future policy development.","What finding about yourself has surprised you recently?"
"firm","adj.","B1","坚定的","Successful negotiations require firm but respectful positions.","When do you need to be firm with others?"
"fitness","n.","B1","健康","Physical fitness improves mental clarity significantly.","How do you maintain fitness in your daily routine?"
"fixed","adj.","B1","固定的","Fixed mindsets limit personal growth opportunities.","What fixed beliefs have you successfully changed?"
"flag","n.","B1","旗帜","National flags represent cultural identity and values.","What flag or symbol holds meaning for you?"
"flame","n.","B1","火焰","Olympic flames symbolize unity and competition.","What keeps your inner flame burning brightly?"
"flexible","adj.","B1","灵活的","Flexible work arrangements improve employee satisfaction.","Where in life do you need to be more flexible?"
"float","v.","B1","漂浮","Ideas float through consciousness before crystallizing clearly.","What memories float back during quiet moments?"
"flow","v.","B1","流动","Creative inspiration flows best in relaxed environments.","When does your work flow most naturally?"
"fold","v.","B1","折叠","Organizations sometimes fold due to financial difficulties.","What would make you fold in an argument?"
"force","v.","B1","强迫","Circumstances sometimes force difficult personal decisions.","What force drives your motivation most strongly?"
"forever","adv.","B1","永远","True friendships feel like they'll last forever.","What would you want to preserve forever?"
"format","n.","B1","格式","Digital formats revolutionize information sharing methods.","What format do you prefer for learning?"
"former","adj.","B1","以前的","Former students often return to visit teachers.","What former version of yourself do you miss?"
"fortunate","adj.","B1","幸运的","We're fortunate to live in peaceful times.","What makes you feel most fortunate?"
"fortune","n.","B1","财富；运气","Building fortune requires patience and wise investing.","What fortune would you share with others?"
"frame","n.","B1","框架","Theoretical frameworks guide scientific research methodologies.","What frame of reference shapes your worldview?"
"freedom","n.","B1","自由","Democratic freedoms require active citizen participation.","What freedom do you value most highly?"
"freeze","v.","B1","冻结","Fear can freeze people in crucial moments.","What situations make you freeze up?"
"friendship","n.","B1","友谊","Genuine friendship withstands time and distance.","What friendship has taught you the most?"
"frighten","v.","B1","使害怕","Sudden changes frighten many people unnecessarily.","What frightens you about the future?"
"frightened","adj.","B1","害怕的","Children feel frightened during thunderstorms.","When do you feel most frightened?"
"frightening","adj.","B1","令人害怕的","Climate change presents frightening long-term consequences.","What frightening reality do people ignore?"
"fuel","n.","B1","燃料","Renewable fuels reduce environmental impact.","What fuels your passion for life?"
"function","v.","B1","运作","Democratic institutions function through citizen engagement.","How do you function best under pressure?"
"fund","v.","B1","资助","Governments fund public education and infrastructure.","What cause would you fund if wealthy?"
"gain","v.","B1","获得","Students gain confidence through successful experiences.","What do you gain from helping others?"
"garage","n.","B1","车库","Garages often become storage spaces for memories.","What would you find in your ideal garage?"
"gather","v.","B1","聚集","Families gather during holidays and celebrations.","What do you gather that others find unusual?"
"generally","adv.","B1","通常","People generally prefer familiar surroundings.","What do you generally do to relax?"
"generate","v.","B1","产生","Solar panels generate electricity from sunlight.","What generates the most happiness in your life?"
