"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"be","v., auxiliary v.","A1","是；存在","I am happy.","How do you use 'be' in sentences?","Grammar"
"beach","n.","A1","海滩","We go to the beach in summer.","What do you do at the beach?","Places"
"beautiful","adj.","A1","美丽的","The flowers are beautiful.","What is beautiful to you?","Emotions"
"because","conj.","A1","因为","I study because I want to learn.","When do you use 'because'?","Grammar"
"become","v.","A1","变成；成为","I want to become a doctor.","What do you want to become?","Actions"
"bed","n.","A1","床","I sleep in my bed.","What time do you go to bed?","Home"
"bedroom","n.","A1","卧室","My bedroom is small.","What is in your bedroom?","Home"
"beer","n.","A1","啤酒","Adults drink beer.","What do children drink instead of beer?","Food & Drink"
"before","prep.","A1","在...之前","Wash hands before eating.","What do you do before school?","Time"
"begin","v.","A1","开始","Let's begin the lesson.","When does your day begin?","Actions"
"beginning","n.","A1","开始；开端","This is the beginning of the story.","What is at the beginning of a book?","Time"
"behind","prep., adv.","A1","在...后面","The cat is behind the sofa.","What is behind your house?","Position"
"believe","v.","A1","相信","I believe in you.","What do you believe in?","Emotions"
"below","adv., prep.","A1","在...下面","The answers are below.","What is below your feet?","Position"
"best","adj.","A1","最好的","This is the best pizza.","What is your best subject?","Emotions"
"better","adj.","A1","更好的","This book is better than that one.","How can you become better at English?","Emotions"
"between","prep.","A1","在...之间","I sit between my friends.","What is between Monday and Wednesday?","Position"
"bicycle","n.","A1","自行车","I ride my bicycle to school.","Do you have a bicycle?","Transportation"
"big","adj.","A1","大的","That is a big house.","What is the opposite of 'big'?","Emotions"
"bike","n.","A1","自行车","My bike is red.","How is 'bike' different from 'bicycle'?","Transportation"
"bill","n.","A1","账单","The restaurant bill is expensive.","Who pays the bills in your family?","Shopping"
"bird","n.","A1","鸟","Birds can fly.","What birds do you see in your area?","Animals"
"birthday","n.","A1","生日","Today is my birthday!","When is your birthday?","Time"
"black","adj., n.","A1","黑色的","I have a black cat.","What things are usually black?","Colors"
"blog","n.","A1","博客","I read her blog every day.","Do you write a blog?","Technology"
"blonde","adj.","A1","金发的","She has blonde hair.","What hair colors do you know?","Colors"
"blue","adj., n.","A1","蓝色的","The sky is blue.","What things are blue?","Colors"
"boat","n.","A1","船","We travel by boat.","Where do boats go?","Transportation"
"body","n.","A1","身体","Exercise is good for your body.","What parts of the body do you know?","Body"
"book","n.","A1","书","This is an interesting book.","What is your favorite book?","Education"
"boot","n.","A1","靴子","I wear boots in winter.","When do you wear boots?","Clothing"
"bored","adj.","A1","无聊的","I am bored at home.","What makes you feel bored?","Emotions"
"boring","adj.","A1","令人无聊的","The movie was boring.","What is the difference between 'bored' and 'boring'?","Emotions"
"born","v.","A1","出生","I was born in 1995.","Where were you born?","Family"
"both","det./pron.","A1","两个都","Both books are good.","When do you use 'both'?","Grammar"
"bottle","n.","A1","瓶子","I drink water from a bottle.","What comes in bottles?","Daily Life"
"box","n.","A1","盒子","The gift is in a box.","What do you keep in boxes?","Daily Life"
"boy","n.","A1","男孩","The boy is playing football.","What is the opposite of 'boy'?","Family"
"boyfriend","n.","A1","男朋友","She has a new boyfriend.","What does 'boyfriend' mean?","Family"
"bread","n.","A1","面包","I eat bread for breakfast.","What do you eat with bread?","Food & Drink"
"break","v., n.","A1","打破；休息","Don't break the glass.","When do you take a break?","Actions"
"breakfast","n.","A1","早餐","Breakfast is the first meal.","What do you eat for breakfast?","Food & Drink"
"bring","v.","A1","带来","Please bring your book.","What do you bring to school?","Actions"
"brother","n.","A1","兄弟","My brother is older than me.","Do you have a brother?","Family"
"brown","adj., n.","A1","棕色的","My hair is brown.","What things are brown in color?","Colors"
"build","v.","A1","建造","They build a new house.","What do people build?","Actions"
"building","n.","A1","建筑物","That building is very tall.","What buildings do you see every day?","Places"
"bus","n.","A1","公共汽车","I take the bus to work.","How do you travel by bus?","Transportation"
"business","n.","A1","生意；商业","My father has a small business.","What kind of business do you know?","Work"
"busy","adj.","A1","忙的","I am very busy today.","When are you most busy?","Emotions"
"but","conj.","A1","但是","I like tea but not coffee.","How do you use 'but' in sentences?","Grammar"
"butter","n.","A1","黄油","I put butter on bread.","What do you eat with butter?","Food & Drink"
"buy","v.","A1","买","I want to buy a new phone.","What do you need to buy?","Shopping"
"by","prep.","A1","通过；由；在...旁边","I go to school by bus.","What different ways can you use 'by'?","Grammar"
"bye","exclam.","A1","再见","Bye! See you tomorrow.","When do you say 'bye'?","Daily Life"
"cafe","n.","A1","咖啡厅","Let's meet at the cafe.","What do people do in a cafe?","Places"
"cake","n.","A1","蛋糕","We eat cake on birthdays.","What is your favorite cake?","Food & Drink"
"call","v., n.","A1","打电话；叫","Please call me tonight.","Who do you call most often?","Technology"
"camera","n.","A1","照相机","I take photos with my camera.","What do you use a camera for?","Technology"
"can1","modal v.","A1","能够；可以","I can swim very well.","What can you do well?","Grammar"
"cannot","modal v.","A1","不能","I cannot drive a car.","What cannot you do?","Grammar"
"capital","n., adj.","A1","首都；大写的","Beijing is the capital of China.","What is the capital of your country?","Places"
"car","n.","A1","汽车","My car is blue.","Do you have a car?","Transportation"
"card","n.","A1","卡片；纸牌","I send birthday cards to friends.","What kinds of cards do you know?","Daily Life"
"career","n.","A1","职业","Teaching is a good career.","What career do you want?","Work"
"carrot","n.","A1","胡萝卜","Carrots are orange vegetables.","Do you like eating carrots?","Food & Drink"
"carry","v.","A1","携带；搬运","I carry my bag to school.","What do you carry every day?","Actions"
"cat","n.","A1","猫","My cat likes to sleep.","Do you prefer cats or dogs?","Animals"
"CD","n.","A1","光盘","I listen to music on CD.","Do people still use CDs?","Technology"
"cent","n.","A1","分（货币单位）","This costs fifty cents.","How many cents make a dollar?","Shopping"
"centre","n.","A1","中心","The library is in the city centre.","Where is the centre of your town?","Places"
"century","n.","A1","世纪","We live in the 21st century.","What century are we in now?","Time"
"chair","n.","A1","椅子","Please sit on the chair.","How many chairs are in your room?","Home"
"change","v., n.","A1","改变；零钱","Can you change this money?","What would you like to change?","Shopping"
"chart","n.","A1","图表","Look at this chart.","What information do charts show?","Education"
"cheap","adj.","A1","便宜的","This shirt is very cheap.","What is the opposite of 'cheap'?","Shopping"
"check","v.","A1","检查","Please check your homework.","What do you check every day?","Actions"
"cheese","n.","A1","奶酪","I like cheese on pizza.","What foods have cheese?","Food & Drink"
"chicken","n.","A1","鸡；鸡肉","We eat chicken for dinner.","How do you cook chicken?","Food & Drink"
"child","n.","A1","孩子","The child is playing.","What is the plural of 'child'?","Family"
"chocolate","n.","A1","巧克力","I love eating chocolate.","What is your favorite chocolate?","Food & Drink"
"choose","v.","A1","选择","Please choose one book.","What do you choose for breakfast?","Actions"
"cinema","n.","A1","电影院","Let's go to the cinema tonight.","What movies do you watch at the cinema?","Places"
"city","n.","A1","城市","I live in a big city.","What city do you live in?","Places"
"class","n.","A1","班级；课程","I have English class today.","What is your favorite class?","Education"
"classroom","n.","A1","教室","The classroom has many desks.","What is in your classroom?","Education"
"clean","adj., v.","A1","干净的；清洁","My room is very clean.","How do you keep things clean?","Daily Life"
"climb","v.","A1","爬","I like to climb mountains.","What do people climb?","Sports"
"clock","n.","A1","时钟","The clock shows 3 o'clock.","Where do you see clocks?","Daily Life"
"close1","v.","A1","关闭","Please close the door.","What do you close at night?","Actions"
"clothes","n.","A1","衣服","I buy new clothes.","What clothes do you wear in winter?","Clothing"
"club","n.","A1","俱乐部","I joined a sports club.","What clubs are there at your school?","Sports"
"coat","n.","A1","外套","I wear a coat in winter.","When do you wear a coat?","Clothing"
"coffee","n.","A1","咖啡","I drink coffee in the morning.","Do you like coffee or tea?","Food & Drink"
"cold","adj., n.","A1","冷的；感冒","It's very cold today.","What do you do when it's cold?","Weather"
"college","n.","A1","大学","She goes to college.","What is the difference between school and college?","Education"
"colour","n.","A1","颜色","What colour is your car?","What is your favorite colour?","Colors"
"come","v.","A1","来","Please come to my party.","What time do you come home?","Actions"
"common","adj.","A1","普通的；常见的","Dogs are common pets.","What is a common name in your country?","Emotions"
"company","n.","A1","公司","My father works for a big company.","What company makes your phone?","Work"
"compare","v.","A1","比较","Compare these two pictures.","How do you compare different things?","Actions"
"complete","adj., v.","A1","完整的；完成","Please complete your homework.","When do you complete your work?","Actions"
"computer","n.","A1","计算机","I use a computer for work.","What do you do on your computer?","Technology"
"concert","n.","A1","音乐会","We went to a concert last night.","What kind of concerts do you like?","Education"
"conversation","n.","A1","对话","We had a nice conversation.","Who do you have conversations with?","Daily Life"
"cook","v.","A1","烹饪","I cook dinner every day.","What do you like to cook?","Daily Life"
"cooking","n.","A1","烹饪","Cooking is fun.","Do you enjoy cooking?","Daily Life"
"cool","adj.","A1","凉爽的；酷的","The weather is cool today.","What does 'cool' mean in slang?","Weather"
"correct","adj., v.","A1","正确的；纠正","Your answer is correct.","How do you correct mistakes?","Education"
"cost","n., v.","A1","花费；成本","How much does this cost?","What costs a lot of money?","Shopping"
"could","modal v.","A1","能够（过去式）","When I was young, I could run fast.","What could you do as a child?","Grammar"
"country","n.","A1","国家","China is a big country.","What country are you from?","Places"
"course","n.","A1","课程；当然","I'm taking an English course.","What course do you want to take?","Education"
"cousin","n.","A1","表/堂兄弟姐妹","My cousin lives in Shanghai.","How many cousins do you have?","Family"
"cow","n.","A1","奶牛","Cows give us milk.","What do cows eat?","Animals"
"cream","n.","A1","奶油","I like cream in my coffee.","What foods have cream?","Food & Drink"
"create","v.","A1","创造","Artists create beautiful things.","What would you like to create?","Actions"
"culture","n.","A1","文化","I want to learn about Chinese culture.","What is interesting about your culture?","Daily Life"
"cup","n.","A1","杯子","I drink tea from a cup.","How many cups do you have?","Daily Life"
"customer","n.","A1","顾客","The customer is always right.","Where do you see customers?","Shopping"
"cut","v.","A1","切；割","Please cut the apple.","What do you cut with scissors?","Actions"
"dad","n.","A1","爸爸","My dad is very kind.","What does your dad do?","Family"
"dance","n., v.","A1","跳舞","I love to dance.","What kind of dance do you like?","Sports"
"dancer","n.","A1","舞者","She is a professional dancer.","Do you know any famous dancers?","Work"
"dancing","n.","A1","跳舞","Dancing is good exercise.","Where do people go dancing?","Sports"
"dangerous","adj.","A1","危险的","Driving fast is dangerous.","What things are dangerous?","Emotions"
"dark","adj.","A1","黑暗的","It gets dark at night.","Are you afraid of the dark?","Colors"
"date","n.","A1","日期；约会","What's the date today?","What date is your birthday?","Time"
"daughter","n.","A1","女儿","She is my daughter.","Do you have a daughter?","Family"
"day","n.","A1","天；日","Today is a beautiful day.","What is your favorite day of the week?","Time"
"dear","adj.","A1","亲爱的","Dear friend, how are you?","When do you use 'dear'?","Emotions"
"December","n.","A1","十二月","Christmas is in December.","What happens in December?","Time"
"decide","v.","A1","决定","I can't decide what to eat.","How do you decide important things?","Actions"
"delicious","adj.","A1","美味的","This pizza is delicious!","What food do you think is delicious?","Emotions"
"describe","v.","A1","描述","Can you describe your house?","How do you describe your best friend?","Actions"
"description","n.","A1","描述","Give me a description of the man.","What should a good description include?","Education"
"design","n., v.","A1","设计","I like the design of this car.","What would you like to design?","Work"
"desk","n.","A1","书桌","I study at my desk.","What is on your desk?","Home"
"detail","n.","A1","细节","Tell me the details.","Why are details important?","Education"
"dialogue","n.","A1","对话","The dialogue in the movie is funny.","What is a dialogue between two people?","Education"
"dictionary","n.","A1","字典","I use a dictionary to learn words.","When do you use a dictionary?","Education"
"die","v.","A1","死亡","Plants die without water.","What happens when something dies?","Actions"
"diet","n.","A1","饮食；节食","I'm on a healthy diet.","What is a good diet?","Food & Drink"
"difference","n.","A1","差异","What's the difference between cats and dogs?","Can you see the difference?","Education"
"different","adj.","A1","不同的","We have different opinions.","How are you different from your friends?","Emotions"
"difficult","adj.","A1","困难的","Math is difficult for me.","What do you find difficult?","Emotions"
"dinner","n.","A1","晚餐","We have dinner at 7 PM.","What do you eat for dinner?","Food & Drink"
"dirty","adj.","A1","脏的","My hands are dirty.","What makes things dirty?","Emotions"
"discuss","v.","A1","讨论","Let's discuss this problem.","What do you like to discuss with friends?","Actions"
"dish","n.","A1","盘子；菜肴","This is my favorite dish.","What is your favorite dish?","Food & Drink"
"do1","v., auxiliary v.","A1","做","What do you do?","What do you do every morning?","Actions"
"doctor","n.","A1","医生","The doctor helps sick people.","When do you visit a doctor?","Work"
"dog","n.","A1","狗","My dog is very friendly.","Do you have a dog?","Animals"
"dollar","n.","A1","美元","This costs five dollars.","What can you buy with one dollar?","Shopping"
"door","n.","A1","门","Please close the door.","How many doors are in your house?","Home"
"down","adv., prep.","A1","向下","The ball rolled down the hill.","What is the opposite of 'down'?","Position"
"downstairs","adv.","A1","在楼下","The kitchen is downstairs.","What is downstairs in your house?","Position"
"draw","v.","A1","画画","I like to draw pictures.","What do you like to draw?","Education"
"dress","n., v.","A1","连衣裙；穿衣","She wears a beautiful dress.","What dress do you like?","Clothing"
"drink","n., v.","A1","喝；饮料","I drink water every day.","What is your favorite drink?","Food & Drink"
"drive","v.","A1","开车","I can drive a car.","Do you know how to drive?","Transportation"
"driver","n.","A1","司机","The bus driver is very kind.","What does a driver do?","Work"
"during","prep.","A1","在...期间","I sleep during the night.","What do you do during weekends?","Time"
"DVD","n.","A1","DVD光盘","Let's watch a DVD tonight.","Do you still watch DVDs?","Technology"
"each","det./pron./adv.","A1","每个","Each student has a book.","How do you use 'each' in sentences?","Grammar"
"ear","n.","A1","耳朵","I can hear with my ears.","How many ears do you have?","Body"
"early","adj., adv.","A1","早的；早地","I get up early.","What time is early for you?","Time"
"east","n., adj., adv.","A1","东方","The sun rises in the east.","What direction is east?","Position"
"easy","adj.","A1","容易的","English is easy to learn.","What do you find easy?","Emotions"
"eat","v.","A1","吃","I eat breakfast every morning.","What do you like to eat?","Actions"
"egg","n.","A1","鸡蛋","I eat eggs for breakfast.","How do you cook eggs?","Food & Drink"
"eight","number","A1","八","I have eight books.","What comes after eight?","Numbers"
"eighteen","number","A1","十八","She is eighteen years old.","What happens when you turn eighteen?","Numbers"
"eighty","number","A1","八十","My grandfather is eighty.","What is eighty minus ten?","Numbers"
"elephant","n.","A1","大象","Elephants are very big.","Where do elephants live?","Animals"
"eleven","number","A1","十一","There are eleven players in football.","What comes before eleven?","Numbers"
"else","adv.","A1","其他的","What else do you want?","When do you use 'else'?","Grammar"
"email","n., v.","A1","电子邮件","Please send me an email.","How often do you check your email?","Technology"
"end","n., v.","A1","结束；末尾","This is the end of the story.","When does your school day end?","Time"
"enjoy","v.","A1","享受","I enjoy reading books.","What activities do you enjoy?","Emotions"
"enough","det., pron., adv.","A1","足够的","I have enough money.","When is something enough?","Grammar"
"euro","n.","A1","欧元","This costs ten euros.","What countries use euros?","Shopping"
"even","adv.","A1","甚至","Even children can do this.","How do you use 'even' in sentences?","Grammar"
"evening","n.","A1","晚上","Good evening!","What do you do in the evening?","Time"
"event","n.","A1","事件；活动","The wedding was a happy event.","What events do you enjoy?","Daily Life"
"ever","adv.","A1","曾经","Have you ever been to Paris?","When do you use 'ever' in questions?","Time"
"every","det.","A1","每个","I go to school every day.","What do you do every morning?","Time"
"everybody","pron.","A1","每个人","Everybody loves ice cream.","Is 'everybody' the same as 'everyone'?","Grammar"
"everyone","pron.","A1","每个人","Everyone is welcome here.","When do you say 'everyone'?","Grammar"
"everything","pron.","A1","一切","Everything is ready.","What does 'everything' include?","Grammar"
"exam","n.","A1","考试","I have an English exam tomorrow.","How do you prepare for exams?","Education"
"example","n.","A1","例子","Give me an example.","Can you think of an example?","Education"
"excited","adj.","A1","兴奋的","I'm excited about the trip.","What makes you excited?","Emotions"
"exciting","adj.","A1","令人兴奋的","The movie was very exciting.","What is the difference between 'excited' and 'exciting'?","Emotions"
"exercise","n., v.","A1","锻炼；练习","I exercise every morning.","What exercise do you do?","Sports"
"expensive","adj.","A1","昂贵的","This car is very expensive.","What is expensive in your country?","Shopping"
"explain","v.","A1","解释","Can you explain this word?","When do teachers explain things?","Education"
"extra","adj.","A1","额外的","I need extra time.","When do you need something extra?","Grammar"
"eye","n.","A1","眼睛","I have brown eyes.","What color are your eyes?","Body"
"face","n.","A1","脸","She has a beautiful face.","What parts of the face do you know?","Body"
"fact","n.","A1","事实","It's a fact that water boils at 100°C.","What is an interesting fact you know?","Education"
"fall","v.","A1","跌倒；秋天","Be careful, don't fall!","What can make you fall?","Actions"
"false","adj.","A1","错误的","This statement is false.","What is the opposite of 'false'?","Education"
"family","n., adj.","A1","家庭","I love my family.","How many people are in your family?","Family"
"famous","adj.","A1","著名的","He is a famous singer.","Who is a famous person you know?","Emotions"
"fantastic","adj.","A1","极好的","The weather is fantastic today!","What was fantastic about your day?","Emotions"
"far","adv.","A1","远","My school is not far from home.","What place is far from your house?","Position"
"farm","n.","A1","农场","Cows live on a farm.","What animals live on a farm?","Places"
"farmer","n.","A1","农民","The farmer grows vegetables.","What does a farmer do?","Work"
"fast","adj., adv.","A1","快的；快地","This car is very fast.","What animals are fast?","Emotions"
"fat","adj.","A1","胖的","The cat is getting fat.","What is the opposite of 'fat'?","Body"
"father","n.","A1","父亲","My father works in a bank.","What does your father do?","Family"
"favourite","adj., n.","A1","最喜欢的","Blue is my favourite color.","What is your favourite food?","Emotions"
"February","n.","A1","二月","Valentine's Day is in February.","What happens in February?","Time"
"feel","v.","A1","感觉","I feel happy today.","How do you feel right now?","Emotions"
"feeling","n.","A1","感觉","I have a good feeling about this.","What feelings do you know?","Emotions"
"festival","n.","A1","节日","Christmas is my favourite festival.","What festival do you celebrate?","Daily Life"
"few","det./adj., pron.","A1","少数的","I have a few friends.","What is the difference between 'few' and 'little'?","Grammar"
"fifteen","number","A1","十五","I am fifteen years old.","What comes after fifteen?","Numbers"
"fifth","number","A1","第五","May is the fifth month.","What is the fifth day of the week?","Numbers"
"fifty","number","A1","五十","My mother is fifty years old.","What is fifty divided by ten?","Numbers"
"fill","v.","A1","装满","Fill the glass with water.","What do you fill with water?","Actions"
"film","n.","A1","电影","I watched a good film last night.","What is your favourite film?","Education"
"final","adj.","A1","最终的","This is the final answer.","When do you use 'final'?","Time"
"find","v.","A1","找到","I can't find my keys.","What do you often find difficult to find?","Actions"
"fine","adj.","A1","好的；晴朗的","The weather is fine today.","When do you say 'I'm fine'?","Weather"
"finish","v.","A1","完成","Please finish your homework.","What time do you finish school?","Actions"
"fire","n.","A1","火","Fire is hot and dangerous.","What do you cook over a fire?","Weather"
"first","det./number, adv.","A1","第一","This is my first day at school.","What was your first pet?","Numbers"
"fish","n.","A1","鱼","Fish live in water.","Do you like eating fish?","Animals"
"five","number","A1","五","I have five fingers on each hand.","What comes before five?","Numbers"
"flat","n.","A1","公寓","I live in a small flat.","What is the difference between a flat and a house?","Home"
"flight","n.","A1","航班","My flight is at 3 PM.","How long is your flight to another country?","Transportation"
"floor","n.","A1","地板；楼层","The book is on the floor.","What floor do you live on?","Home"
"flower","n.","A1","花","The flower smells beautiful.","What is your favorite flower?","Weather"
"fly","v.","A1","飞","Birds can fly in the sky.","What animals can fly?","Actions"
"follow","v.","A1","跟随","Please follow me.","Who do you follow on social media?","Actions"
"food","n.","A1","食物","I love Italian food.","What is your favorite food?","Food & Drink"
"foot","n.","A1","脚","I hurt my foot while running.","How many feet do you have?","Body"
"football","n.","A1","足球","I play football with my friends.","Do you like watching football?","Sports"
"for","prep.","A1","为了；给","This gift is for you.","What different ways can you use 'for'?","Grammar"
"forget","v.","A1","忘记","Don't forget to call me.","What do you often forget?","Actions"
"form","n., v.","A1","形式；形成","Please fill out this form.","What forms do you fill out?","Daily Life"
"forty","number","A1","四十","She is forty years old.","What is forty plus ten?","Numbers"
"four","number","A1","四","I have four sisters.","What comes after four?","Numbers"
"fourteen","number","A1","十四","My brother is fourteen.","What is fourteen minus four?","Numbers"
"fourth","number","A1","第四","April is the fourth month.","What is the fourth letter of the alphabet?","Numbers"
"free","adj.","A1","免费的；自由的","The museum is free today.","What things are free?","Shopping"
"Friday","n.","A1","星期五","I love Friday because it's weekend soon.","What do you do on Friday nights?","Time"
"friend","n.","A1","朋友","She is my best friend.","How many friends do you have?","Family"
"friendly","adj.","A1","友好的","Our neighbors are very friendly.","Who is the most friendly person you know?","Emotions"
"from","prep.","A1","从；来自","I come from China.","Where do you come from?","Grammar"
"front","n., adj.","A1","前面","The teacher stands in front of the class.","What is in front of your house?","Position"
"fruit","n.","A1","水果","Apples and oranges are fruit.","What is your favorite fruit?","Food & Drink"
"full","adj.","A1","满的","The glass is full of water.","When do you feel full?","Emotions"
"fun","n.","A1","乐趣","Swimming is fun.","What do you do for fun?","Emotions"
"funny","adj.","A1","有趣的","That joke was very funny.","What makes you laugh and find funny?","Emotions"
"future","n.","A1","未来","I want to be a doctor in the future.","What do you want to do in the future?","Time"
"game","n.","A1","游戏；比赛","Let's play a game.","What games do you like to play?","Sports"
"garden","n.","A1","花园","There are beautiful flowers in the garden.","Do you have a garden?","Home"
"geography","n.","A1","地理","I study world geography.","What do you learn in geography class?","Education"
"get","v.","A1","得到；到达","I get up at 7 AM.","What time do you get home?","Actions"
"girl","n.","A1","女孩","The girl is reading a book.","What is the opposite of 'girl'?","Family"
"girlfriend","n.","A1","女朋友","He has a new girlfriend.","What does 'girlfriend' mean?","Family"
"give","v.","A1","给","Please give me the book.","What do you give people on their birthday?","Actions"
"glass","n.","A1","玻璃；玻璃杯","The window is made of glass.","What do you drink from a glass?","Daily Life"
"go","v.","A1","去","I go to school every day.","Where do you go on weekends?","Actions"
"good","adj.","A1","好的","This is a very good book.","What is good about today?","Emotions"
"goodbye","exclam./n.","A1","再见","Goodbye! See you later.","When do you say goodbye?","Daily Life"
"grandfather","n.","A1","祖父；外祖父","My grandfather is 80 years old.","What does your grandfather do?","Family"
"grandmother","n.","A1","祖母；外祖母","My grandmother makes delicious cookies.","Do you visit your grandmother often?","Family"
"grandparent","n.","A1","祖父母；外祖父母","I love spending time with my grandparents.","What do you do with your grandparents?","Family"
"great","adj.","A1","很好的；伟大的","That's a great idea!","What was great about your weekend?","Emotions"
"green","adj., n.","A1","绿色的","Grass is green.","What things in nature are green?","Colors"
"grey","adj., n.","A1","灰色的","The sky is grey today.","What things are grey?","Colors"
"group","n.","A1","组；群体","We work in a group of five.","What groups are you part of?","Daily Life"
"grow","v.","A1","成长；种植","Children grow quickly.","What grows in your garden?","Actions"
"guess","v., n.","A1","猜测","Can you guess my age?","When do you have to guess something?","Actions"
"guitar","n.","A1","吉他","I play the guitar.","Do you know how to play guitar?","Education"
"gym","n.","A1","体育馆；健身房","I exercise at the gym.","Do you go to a gym?","Places"
"hair","n.","A1","头发","She has long black hair.","What color is your hair?","Body"
"half","n., det./pron.","A1","一半","I ate half of the pizza.","What is half of ten?","Numbers"
"hand","n.","A1","手","I write with my right hand.","What do you do with your hands?","Body"
"happen","v.","A1","发生","What will happen next?","What happened yesterday?","Actions"
