"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"cartoon","n.","A2","卡通","I used to watch cartoons as a child.","What cartoons did you enjoy as a child?","Creative Arts"
"case","n.","A2","情况；箱子","In this case, we should wait.","In what case would you change your plans?","Daily Life"
"cash","n.","A2","现金","I don't have enough cash with me.","When do you prefer to pay with cash?","Shopping"
"castle","n.","A2","城堡","We visited an old castle in Scotland.","What would you do if you lived in a castle?","Places"
"catch","v.","A2","抓住；赶上","Try to catch the ball!","What do you try to catch in daily life?","Actions"
"cause","n., v.","A2","原因；引起","What was the cause of the accident?","What can cause people to feel stressed?","Daily Life"
"celebrate","v.","A2","庆祝","Let's celebrate your birthday!","How do you like to celebrate special occasions?","Actions"
"celebrity","n.","A2","名人","The celebrity signed autographs for fans.","What celebrity would you like to meet?","Creative Arts"
"certain","adj.","A2","确定的","I'm certain that I locked the door.","What are you certain about in life?","Emotions"
"certainly","adv.","A2","当然","Can you help me?" "Certainly!"","When do you say 'certainly' instead of 'yes'?","Communication"
"chance","n.","A2","机会","This is your chance to succeed.","What chance would you like to have?","Daily Life"
"character","n.","A2","性格；角色","She has a strong character.","What character traits do you admire?","Descriptions"
"charity","n.","A2","慈善","I donate money to charity.","What charity work interests you?","Daily Life"
"chat","v., n.","A2","聊天","Let's chat over coffee.","Who do you enjoy chatting with?","Communication"
"check","n.","A2","检查；支票","The doctor did a health check.","What checks do you do before traveling?","Actions"
"chef","n.","A2","厨师","The chef prepared a delicious meal.","What skills does a professional chef need?","Work"
"chemistry","n.","A2","化学","I find chemistry very interesting.","What do you remember from chemistry class?","Education"
"chip","n.","A2","薯条；芯片","I love fish and chips.","What types of chips do you enjoy eating?","Food & Drink"
"choice","n.","A2","选择","You have a choice between tea or coffee.","What was the most difficult choice you've made?","Daily Life"
"church","n.","A2","教堂","The old church is beautiful.","What role do churches play in communities?","Places"
"cigarette","n.","A2","香烟","Smoking cigarettes is bad for health.","What do you think about cigarette advertising?","Daily Life"
"circle","n., v.","A2","圆圈；围成圈","Draw a circle on the paper.","What things in nature form circles?","Education"
"classical","adj.","A2","古典的","I enjoy listening to classical music.","What classical art forms do you appreciate?","Creative Arts"
"clear","adj.","A2","清楚的；晴朗的","The instructions are very clear.","When do you need things to be clear?","Descriptions"
"clearly","adv.","A2","清楚地","She explained the problem clearly.","What do you need to explain clearly to others?","Communication"
"clever","adj.","A2","聪明的","That's a very clever solution.","What's the most clever idea you've heard?","Descriptions"
"climate","n.","A2","气候","The climate here is very mild.","How does climate affect daily life?","Weather"
"close2","adj.","A2","近的；亲密的","I'm very close to my sister.","Who are you close to in your family?","Position"
"closed","adj.","A2","关闭的","The shop is closed on Sundays.","What places are closed during holidays?","Time"
"clothing","n.","A2","服装","Warm clothing is essential in winter.","What clothing do you need for different seasons?","Clothing"
"cloud","n.","A2","云","The clouds are very dark today.","What do different cloud shapes remind you of?","Weather"
"coach","n.","A2","教练；长途汽车","The football coach trains the team.","What makes a good coach?","Sports"
"coast","n.","A2","海岸","We walked along the coast.","What activities can you do on the coast?","Places"
"code","n.","A2","密码；代码","Enter your security code here.","What codes do you use in daily life?","Technology"
"colleague","n.","A2","同事","My colleague helped me with the project.","How do you get along with your colleagues?","Work"
"collect","v.","A2","收集","I collect old coins.","What did you collect as a child?","Actions"
"column","n.","A2","专栏；柱子","Read the third column of numbers.","What columns do you read in newspapers?","Communication"
"comedy","n.","A2","喜剧","I prefer comedy to drama.","What comedy movies make you laugh?","Creative Arts"
"comfortable","adj.","A2","舒适的","This chair is very comfortable.","Where do you feel most comfortable?","Emotions"
"comment","n.","A2","评论","Do you have any comments?","What comments do you make on social media?","Communication"
"communicate","v.","A2","交流","It's important to communicate clearly.","How do you prefer to communicate with friends?","Communication"
"community","n.","A2","社区","Our community is very friendly.","What makes a strong community?","Places"
"compete","v.","A2","竞争","Athletes compete for medals.","What do you like to compete in?","Sports"
"competition","n.","A2","竞赛；竞争","The competition was very tough.","What competition would you like to enter?","Sports"
"complain","v.","A2","抱怨","Some customers complain about the service.","What do people often complain about?","Emotions"
"completely","adv.","A2","完全地","I completely forgot about the meeting.","What have you completely changed your mind about?","Grammar"
"condition","n.","A2","条件；状况","The car is in good condition.","What conditions are necessary for happiness?","Descriptions"
"conference","n.","A2","会议","I attended a business conference.","What topics are discussed in conferences?","Work"
"connect","v.","A2","连接","Please connect to the WiFi.","What helps you connect with other people?","Technology"
"connected","adj.","A2","连接的","Everything is connected to the internet.","How do you stay connected with family?","Technology"
"consider","v.","A2","考虑","Please consider my suggestion.","What factors do you consider when making decisions?","Actions"
"contain","v.","A2","包含","This box contains old photos.","What does your bag contain right now?","Actions"
"context","n.","A2","语境；背景","You need to understand the context.","Why is context important in communication?","Communication"
"continent","n.","A2","大陆","Africa is a huge continent.","Which continent would you like to visit?","Places"
"continue","v.","A2","继续","Please continue with your story.","What do you want to continue learning?","Actions"
"control","n., v.","A2","控制","You need to control your emotions.","What do you have control over in life?","Actions"
"cook","n.","A2","厨师","My mother is an excellent cook.","Who is the best cook you know?","Work"
"cooker","n.","A2","炉灶","The gas cooker isn't working.","What type of cooker do you have at home?","Home"
"copy","n., v.","A2","复制；副本","Make a copy of this document.","What do you need to copy for work or study?","Actions"
"corner","n.","A2","角落；拐角","The bank is on the corner.","What do you keep in the corner of your room?","Position"
"correctly","adv.","A2","正确地","Please spell the word correctly.","What do you need to do correctly at work?","Descriptions"
"count","v.","A2","数数；重要","Count from one to ten.","What things do you count in daily life?","Numbers"
"couple","n.","A2","夫妇；几个","The couple got married last year.","What activities do couples enjoy together?","Family"
"cover","v.","A2","覆盖；涵盖","Snow covers the mountains.","What does your insurance cover?","Actions"
"crazy","adj.","A2","疯狂的","That's a crazy idea!","What's the craziest thing you've ever done?","Emotions"
"creative","adj.","A2","有创造力的","She's a very creative person.","When do you feel most creative?","Creative Arts"
"credit","n.","A2","信用；学分","I bought this on credit.","What are the advantages and disadvantages of credit?","Shopping"
"crime","n.","A2","犯罪","Crime rates are falling.","What crimes are most common in cities?","Daily Life"
"criminal","n.","A2","罪犯","The criminal was caught yesterday.","What makes someone become a criminal?","Daily Life"
"cross","v., n.","A2","穿过；十字","Be careful when you cross the road.","What do you cross every day?","Actions"
"crowd","n.","A2","人群","There was a big crowd at the concert.","How do you feel in a crowd?","Daily Life"
"crowded","adj.","A2","拥挤的","The train was very crowded.","Where do you encounter crowded places?","Descriptions"
"cry","v.","A2","哭","The baby started to cry.","What makes you want to cry?","Emotions"
"cupboard","n.","A2","橱柜","The plates are in the cupboard.","What do you keep in your kitchen cupboard?","Home"
"curly","adj.","A2","卷曲的","She has beautiful curly hair.","Do you prefer straight or curly hair?","Descriptions"
"cycle","n., v.","A2","循环；骑自行车","The water cycle is important.","What cycles do you notice in nature?","Transportation"
"daily","adj.","A2","日常的","Exercise is part of my daily routine.","What are your daily habits?","Time"
"danger","n.","A2","危险","There's danger in mountain climbing.","What dangers exist in modern life?","Daily Life"
"dark","n.","A2","黑暗","I'm afraid of the dark.","What do you do when it gets dark?","Time"
"data","n.","A2","数据","The data shows interesting results.","What data do companies collect about you?","Technology"
"dead","adj.","A2","死的","The plant is dead.","What happens to dead leaves in nature?","Descriptions"
"deal","v.","A2","处理；交易","How do you deal with stress?","What problems do you deal with daily?","Actions"
"death","n.","A2","死亡","Death is part of life.","How do different cultures view death?","Daily Life"
"decision","n.","A2","决定","That was a good decision.","What's the hardest decision you've made?","Daily Life"
"deep","adj.","A2","深的","The lake is very deep.","What deep thoughts do you have?","Descriptions"
"definitely","adv.","A2","肯定地","I will definitely come to the party.","What are you definitely going to do this weekend?","Grammar"
"degree","n.","A2","学位；程度","She has a degree in psychology.","What degree would you like to get?","Education"
"dentist","n.","A2","牙医","I need to visit the dentist.","How often do you go to the dentist?","Work"
"department","n.","A2","部门","Which department do you work in?","What department stores do you shop at?","Work"
"depend","v.","A2","依靠；取决于","It depends on the weather.","What does your happiness depend on?","Actions"
"desert","n.","A2","沙漠","The desert is very hot and dry.","What animals live in the desert?","Places"
"designer","n.","A2","设计师","The designer created beautiful clothes.","What type of designer would you like to be?","Work"
"destroy","v.","A2","摧毁","The fire destroyed the building.","What can destroy friendships?","Actions"
"detective","n.","A2","侦探","The detective solved the mystery.","What skills does a detective need?","Work"
"develop","v.","A2","发展；开发","We need to develop new skills.","What skills are you trying to develop?","Actions"
"device","n.","A2","设备；装置","This device helps you learn languages.","What devices do you use most often?","Technology"
"diary","n.","A2","日记","I write in my diary every night.","What would you write in a diary?","Daily Life"
"differently","adv.","A2","不同地","Everyone thinks differently.","What do you do differently from others?","Descriptions"
"digital","adj.","A2","数字的","We live in a digital world.","What digital skills are important today?","Technology"
"direct","adj.","A2","直接的","Take the direct route.","When do you prefer direct communication?","Descriptions"
"direction","n.","A2","方向","Which direction is the station?","What direction is your life going?","Position"
"director","n.","A2","导演；主管","The director made a great film.","What makes a good director?","Creative Arts"
"disagree","v.","A2","不同意","I disagree with your opinion.","What do you often disagree about with friends?","Communication"
"disappear","v.","A2","消失","The sun disappeared behind clouds.","What would you like to disappear from your life?","Actions"
"disaster","n.","A2","灾难","The earthquake was a terrible disaster.","What natural disasters happen in your area?","Weather"
"discover","v.","A2","发现","Scientists discovered a new planet.","What would you like to discover about yourself?","Actions"
"discovery","n.","A2","发现","The discovery changed everything.","What discovery has changed your life most?","Education"
"discussion","n.","A2","讨论","We had an interesting discussion.","What topics do you enjoy discussing?","Communication"
"disease","n.","A2","疾病","Heart disease is very serious.","How can people prevent diseases?","Body"
"distance","n.","A2","距离","The distance between cities is 200km.","What distance do you travel to work?","Measurements"
"divorced","adj.","A2","离婚的","My parents are divorced.","How does divorce affect children?","Family"
"document","n.","A2","文件","Please sign this document.","What documents do you need for travel?","Daily Life"
"double","adj.","A2","双倍的","The price is double what it was.","What would you like to double in your life?","Numbers"
"download","v.","A2","下载","I downloaded a new app yesterday.","What do you download most often?","Technology"
"downstairs","adv.","A2","在楼下","The bathroom is downstairs.","What rooms are downstairs in your house?","Position"
"drama","n.","A2","戏剧；冲突","I prefer comedy to drama.","What drama series do you watch?","Creative Arts"
"drawing","n.","A2","绘画","This drawing is very beautiful.","What do you like drawing?","Creative Arts"
"dream","n.","A2","梦想；梦","I had a strange dream last night.","What dream do you remember most clearly?","Daily Life"
"drive","v.","A2","开车","I learned to drive when I was 18.","What do you think about while driving?","Transportation"
"driving","n.","A2","驾驶","Driving in the city is stressful.","What makes driving difficult?","Transportation"
"drop","v.","A2","掉落；放弃","Don't drop the glass!","What habit would you like to drop?","Actions"
"drug","n.","A2","药物；毒品","This drug helps with pain.","What do you think about drug testing in sports?","Body"
"dry","adj.","A2","干燥的","My skin gets very dry in winter.","What do you use when your hands are dry?","Descriptions"
"earn","v.","A2","赚取","I earn money by teaching.","How do you earn extra money?","Work"
"earth","n.","A2","地球","We must protect the Earth.","What problems does Earth face today?","Places"
"easily","adv.","A2","容易地","I can solve this problem easily.","What do you learn easily?","Descriptions"
"education","n.","A2","教育","Education is very important.","What changes would improve education?","Education"
"effect","n.","A2","影响；效果","The medicine had a good effect.","What effect does music have on you?","Daily Life"
"either","adv.","A2","也（用于否定句）","I don't like it either.","What don't you like either?","Grammar"
"electric","adj.","A2","电的","We have an electric car.","What electric appliances do you use daily?","Technology"
"electrical","adj.","A2","电气的","He's an electrical engineer.","What electrical problems have you had at home?","Technology"
"electricity","n.","A2","电力","The electricity went out during the storm.","How would your life change without electricity?","Technology"
"electronic","adj.","A2","电子的","I prefer electronic books.","What electronic devices do you depend on?","Technology"
"employ","v.","A2","雇用","The company employs 500 people.","What type of company would you like to employ you?","Work"
"employee","n.","A2","员工","She's a hardworking employee.","What makes an employee valuable?","Work"
"employer","n.","A2","雇主","My employer is very understanding.","What do you look for in an employer?","Work"
"empty","adj.","A2","空的","The bottle is empty.","When do you feel empty inside?","Descriptions"
"ending","n.","A2","结尾","The movie has a happy ending.","What ending would you like for your story?","Creative Arts"
"energy","n.","A2","能量","I have no energy today.","What gives you energy?","Body"
"engine","n.","A2","引擎；发动机","The car engine is making noise.","What do you know about how engines work?","Transportation"
"engineer","n.","A2","工程师","My brother is a software engineer.","What type of engineer would you like to be?","Work"
"enormous","adj.","A2","巨大的","The elephant is enormous.","What enormous changes have happened in technology?","Descriptions"
"enter","v.","A2","进入","Please enter your password.","What do you need to enter to start your computer?","Actions"
"environment","n.","A2","环境","We must protect the environment.","What environmental problems worry you most?","Nature"
"equipment","n.","A2","设备","This gym has excellent equipment.","What equipment do you need for your hobbies?","Technology"
"error","n.","A2","错误","There's an error in this calculation.","What errors do you make when speaking English?","Education"
"especially","adv.","A2","特别是","I love fruit, especially apples.","What do you especially enjoy about weekends?","Grammar"
"essay","n.","A2","论文；短文","I need to write an essay about pollution.","What essay topics interest you?","Education"
"everyday","adj.","A2","日常的","These are my everyday clothes.","What everyday activities do you find boring?","Daily Life"
"everywhere","adv.","A2","到处","There are flowers everywhere.","Where do you see advertisements everywhere?","Position"
"evidence","n.","A2","证据","The police found evidence at the scene.","What evidence shows that exercise is good for you?","Daily Life"
"exact","adj.","A2","确切的","What's the exact time?","When do you need exact information?","Descriptions"
"exactly","adv.","A2","确切地","That's exactly what I meant.","What do you understand exactly about grammar?","Grammar"
"excellent","adj.","A2","极好的","You did an excellent job!","What was your most excellent achievement?","Descriptions"
"except","prep.","A2","除了","Everyone came except John.","What do you like about winter except the cold?","Grammar"
"exist","v.","A2","存在","Do aliens exist?","What problems exist in your community?","Actions"
"expect","v.","A2","期待；预期","I expect to finish by 5 PM.","What do you expect from a good friend?","Emotions"
"experience","n.","A2","经历；经验","That was an amazing experience.","What experience changed your perspective?","Daily Life"
"experiment","n.","A2","实验","We did a chemistry experiment.","What experiment would you like to try?","Education"
"expert","n.","A2","专家","She's an expert in languages.","What subject would you like to be an expert in?","Work"
"explanation","n.","A2","解释","I need a clear explanation.","What explanation do you need about English grammar?","Communication"
"express","v.","A2","表达","It's hard to express my feelings.","How do you express creativity?","Communication"
"expression","n.","A2","表达；表情","He had a confused expression.","What expression do you make when you're thinking?","Body"
"extreme","adj.","A2","极端的","That's an extreme reaction.","What extreme weather have you experienced?","Descriptions"
"extremely","adv.","A2","极其","I'm extremely tired today.","What are you extremely good at?","Grammar"
"factor","n.","A2","因素","Price is an important factor.","What factors influence your decisions?","Daily Life"
"factory","n.","A2","工厂","My father works in a factory.","What do factories in your area produce?","Work"
"fail","v.","A2","失败","I don't want to fail the exam.","What happens when you fail at something?","Actions"
"fair","adj.","A2","公平的","That's not fair!","What makes a competition fair?","Descriptions"
"fall","v.","A2","掉落；跌倒","Be careful not to fall down.","What season do leaves fall?","Actions"
"fan","n.","A2","粉丝；风扇","I'm a big fan of rock music.","What are you a fan of?","Creative Arts"
"farm","n.","A2","农场","We visited a dairy farm.","What animals would you have on a farm?","Places"
"farming","n.","A2","农业","Farming is hard work.","What do you know about modern farming?","Work"
"fashion","n.","A2","时尚","She works in fashion.","What fashion trends do you follow?","Clothing"
"fat","n.","A2","脂肪","This food contains too much fat.","What foods are high in fat?","Food & Drink"
"fear","n.","A2","恐惧","I have a fear of heights.","What fear would you like to overcome?","Emotions"
"feature","n.","A2","特征；功能","This phone has many features.","What features do you look for in a car?","Technology"
"feed","v.","A2","喂养","Please feed the cat.","What do you feed birds in winter?","Actions"
"female","adj.","A2","女性的","The female doctor was very kind.","What female leaders do you admire?","Family"
"fiction","n.","A2","小说","I prefer fiction to non-fiction.","What fiction books have you read recently?","Creative Arts"
"field","n.","A2","田地；领域","The cows are in the field.","What field of study interests you?","Places"
"fight","v.","A2","打架；斗争","I don't like to fight.","What do you fight for in life?","Actions"
"figure","n.","A2","数字；人物","Can you check these figures?","What historical figure inspires you?","Numbers"
"film","n.","A2","电影","We saw a great film last night.","What film genre do you prefer?","Creative Arts"
"final","adj.","A2","最终的","This is my final answer.","What was your final decision about your career?","Descriptions"
"finally","adv.","A2","最终","I finally understood the problem.","What did you finally learn to do?","Time"
"finger","n.","A2","手指","I cut my finger while cooking.","What do you use your fingers for besides typing?","Body"
"finish","v.","A2","完成","When will you finish your work?","What project do you need to finish?","Actions"
"first","adv.","A2","首先","First, let me explain the rules.","What do you do first when you wake up?","Time"
"firstly","adv.","A2","首先","Firstly, I'd like to thank everyone.","What would you change about your city, firstly?","Grammar"
"fish","n.","A2","鱼","I caught three fish today.","What fish do you like to eat?","Animals"
"fishing","n.","A2","钓鱼","My grandfather loves fishing.","What do you think about while fishing?","Sports"
"fit","v.","A2","适合；健康","These shoes don't fit me.","What exercise helps you stay fit?","Body"
"fix","v.","A2","修理","Can you fix my computer?","What things can you fix yourself?","Actions"
"flat","n.","A2","公寓","I live in a small flat.","What would you change about your flat?","Home"
"flu","n.","A2","流感","I caught the flu last week.","How do you prevent getting the flu?","Body"
"fly","v.","A2","飞行","Birds can fly in the sky.","Where would you like to fly to?","Transportation"
"flying","n.","A2","飞行","I'm afraid of flying.","What do you think about when flying?","Transportation"
